web-scraper-order,web-scraper-start-url,name,nutrition,descr
"1608160890-176","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Johnny Rockets: Bacon Cheddar Doubleburger","What it'll set you back: 3,500 calories, 88 grams of saturated fat, and 3,720 milligrams of sodium.","What's in it: Applewood smoked bacon, cheddar cheese, crisp leaf lettuce, fresh tomato, sliced onion, and special sauce on double patties."
"1608160890-174","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Cheesecake Factory: Breakfast Burrito","What it'll set you back: 2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.","What's in it: Scrambled eggs, bacon, chicken chorizo, cheese, crispy potatoes, avocado, peppers and onions ... with a side of sour cream and black beans."
"1608160890-167","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Sonic: Pineapple Upside Down Master Blast Shake","What it'll set you back: 2,020 calories, 61 grams of saturated fat, 4.5 grams of trans fat, and 29 teaspoons of sugar.","What's in it: Vanilla ice cream mixed with pineapple, salted caramel, and pie crust pieces."
"1608160890-166","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Shake Shack: Double SmokeShack Burger","What it'll set you back: 2,240 calories, 55 grams of saturated fat, and 3,170 milligrams of sodium.","What's in it: A double patty with bacon, cherry pepper and ShackSauce on top. Plus a side of fries and a peanut butter shake."
"1608160890-169","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","McDonald's: 40-Piece Chicken Nugget Set","What it'll set you back: 1,880 calories, 20 grams of saturated fat, and 3,600 milligrams of sodium.","What's in it: 40 chicken nuggets and the accompanying dipping sauces."
"1608160890-163","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Buffalo Wild Wings: Cheese Curd Bacon Burger","What it'll set you back: 1,950 calories, 53 grams of saturated fat, and 4,700 milligrams of sodium.","What's in it: Deep-fried cheese curds on top of lettuce, tomato, onion, American cheese, a mayonnaise-based sauce, and two strips of bacon."
"1608160890-170","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Wendy's: Dave's Triple","What it'll set you back: 1,090 calories, 30 grams of saturated fat, and 1,910 milligrams of sodium.","What's in it: Three quarter-pound patties with cheese, lettuce, tomatoes, pickles, onions, and condiments."
"1608160890-168","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Dave & Buster's: Carnivore Pizzadilla","What it'll set you back: 1,970 calories, 67 grams of saturated fat, and 4,440 milligrams of sodium.","What's in it: A giant quesadilla stuffed with Manchego and cheddar cheeses, pepperoni, and Italian sausage, which is then smothered in more cheese, pepperoni, and sausage. It's also got bacon and marinara sauce."
"1608160890-175","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Applebee's: 4-Cheese Mac & Cheese with Honey Pepper Chicken Tenders","What it'll set you back: 1,830 calories, 92 grams of saturated fat, and 4,300 milligrams of sodium.","What's in it: Four-cheese mac and cheese topped with crispy breaded chicken tenders that are tossed in honey pepper sauce and topped with bacon."
"1608160890-173","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Cheesecake Factory: Pasta Napoletana","What it'll set you back: 2,310 calories, 79 grams of saturated fat and 4,370 milligrams of sodium.","What's in it: Butter and cream-flavored pasta topped with Italian sausage, pepperoni, meatballs, and bacon."
"1608160890-171","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Dickey's Barbecue Pit: 3-Meat Plate","What it'll set you back: 2,500 calories, 49 grams of saturated fat, and 4,700 milligrams of sodium.","What's in it: Polish sausage, pork ribs, and beef brisket with sides of fried onion tanglers and mac and cheese with an ice cream cone for dessert."
"1608160890-165","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","IHOP: Cheeseburger Omelette With Pancakes","What it'll set you back: 1,990 calories, 45 grams of saturated fat, and 4,580 milligrams of sodium.","What's in it: Eggs stuffed with cheeseburger patty pieces, hash browns, tomatoes, onions, American cheese ketchup, mustard, and pickles, plus a side of buttered and syrup-ed pancakes."
"1608160890-164","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Outback Steakhouse: Herb-Roasted Prime Rib","What it'll set you back: 2,400 calories, 71 grams saturated fat, and 3,650 milligrams of sodium.","What's in it: The meat, plus a dressed baked potato and blue cheese wedge side salad, as well as half a loaf of free bread with butter."
"1608160890-177","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Chili’s: Ultimate Smokehouse Combo","What it'll set you back: At least 1,270 calories, depending on your combination choice, 20 grams of saturated fat, and 2,960 milligrams of sodium.","What's in it: A choice of  baby back ribs, smoked brisket, jalapeño-cheddar smoked sausage, BBQ chicken breast, or chicken tenders with sides of roasted street corn, fries, chile-garlic toast, and garlic dill pickles."
"1608160890-172","https://www.delish.com/food-news/g22606587/highest-calorie-fast-food-restaurant-meals/","Red Lobster: Create Your Own Combination","What it'll set you back: 3,600 calories, 37 grams of saturated fat, and 6,530 milligrams of sodium.","What's in it: Three shrimp dishes (Parrot Isle Jumbo Coconut, Walt's Favorite, and Linguine Alfredo), french fries, Caesar salad, and a Cheddar Bay Biscuit with a 24-ounce Lobsterita."
